DatasetOutFileName,label_sample,Region,cam,DateTimeOriginal,DateTime,DOY,Hour,Minute,Temperature,Flash,ExposureTime,weather,weather_desc,cis_fold,trans_fold,holdout,cis_prod_fold,DatasetAbsPath,DatasetLocalPath
000001.JPG,systematic,ZA,SA16,2022:01:12 21:01:12,12/01/2022 21:01,12,21,1,10,1,0.065985535,0,background,2,4,False,4,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/background1/000001.JPG,./dataset_local/000001.png
000002.JPG,strategic,ZA,SA07,2021:12:25 03:03:27,25/12/2021 03:03,359,3,3,2,1,0.06598553,3,hail,4,2,False,1,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/hail/000002.JPG,./dataset_local/000002.png
000003.JPG,systematic,ZA,SA06,2022:04:01 15:00:27,01/04/2022 15:00,91,15,0,6,0,0.004671936,1,sunshine,1,1,False,1,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/sunshine/000003.JPG,./dataset_local/000003.png
000004.JPG,strategic,CH,C02,2021:09:04 01:00:01,04/09/2021 01:00,247,1,0,7,1,0.065985535,0,background,6,6,True,5,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/background1/000004.JPG,./dataset_local/000004.png
000005.JPG,systematic,CH,C17,2021:08:31 09:01:31,31/08/2021 09:01,243,9,1,5,0,0.002625183,1,sunshine,2,3,False,5,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/sunshine/000005.JPG,./dataset_local/000005.png
000006.JPG,strategic,ZA,SA04,2021:12:24 20:03:06,24/12/2021 20:03,358,20,3,2,1,0.06598553,3,hail,2,1,False,1,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/hail/000006.JPG,./dataset_local/000006.png
000007.JPG,strategic,ZA,SA16,2022:04:17 04:02:52,17/04/2022 04:02,107,4,2,1,1,0.06598553,2,snow,2,4,False,2,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/snow/000007.JPG,./dataset_local/000007.png
000008.JPG,systematic,CH,C21,2021:07:27 03:01:19,27/07/2021 03:01,208,3,1,8,1,0.06598553,0,background,3,2,False,5,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/background1/000008.JPG,./dataset_local/000008.png
000009.JPG,systematic,ZA,SA25,2022:04:05 13:04:11,05/04/2022 13:04,95,13,4,20,0,0.000934387,1,sunshine,1,3,False,6,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/sunshine/000009.JPG,./dataset_local/000009.png
000010.JPG,systematic,CH,C24,2021:09:30 21:04:23,30/09/2021 21:04,273,21,4,4,1,0.06598553,0,background,6,6,True,6,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/background1/000010.JPG,./dataset_local/000010.png
000011.JPG,systematic,ZA,SA19,2022:04:30 07:02:57,30/04/2022 07:02,120,7,2,-3,0,0.003292603,1,sunshine,6,6,True,1,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/sunshine/000011.JPG,./dataset_local/000011.png
000012.JPG,strategic,ZA,SA12,2021:11:22 20:02:52,22/11/2021 20:02,326,20,2,0,1,0.06598553,3,hail,3,3,False,2,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/hail/000012.JPG,./dataset_local/000012.png
000013.JPG,strategic,CH,C21,2021:10:06 07:04:10,06/10/2021 07:04,279,7,4,0,1,0.06598553,2,snow,3,2,False,5,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/snow/000013.JPG,./dataset_local/000013.png
000014.JPG,systematic,ZA,SA22,2022:02:24 20:02:38,24/02/2022 20:02,55,20,2,11,1,0.065985535,0,background,4,2,False,3,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/background1/000014.JPG,./dataset_local/000014.png
000015.JPG,systematic,ZA,SA16,2022:01:17 01:02:00,17/01/2022 01:02,17,1,2,8,1,0.065985535,0,background,1,4,False,5,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/background1/000015.JPG,./dataset_local/000015.png
000016.JPG,strategic,CH,C22,2021:10:10 17:02:15,10/10/2021 17:02,283,17,2,7,0,0.008009033,1,sunshine,5,4,False,1,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/sunshine/000016.JPG,./dataset_local/000016.png
000017.JPG,systematic,ZA,SA21,2022:04:07 11:01:55,07/04/2022 11:01,97,11,1,14,0,0.000667419,1,sunshine,6,6,True,2,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/sunshine/000017.JPG,./dataset_local/000017.png
000018.JPG,systematic,ZA,SA02,2022:03:30 09:00:56,30/03/2022 09:00,89,9,0,12,0,0.002135742,1,sunshine,5,2,False,1,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/sunshine/000018.JPG,./dataset_local/000018.png
000019.JPG,systematic,CH,C24,2021:09:09 09:04:51,09/09/2021 09:04,252,9,4,9,0,0.009210388,0,background,6,6,True,6,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/background1/000019.JPG,./dataset_local/000019.png
000020.JPG,strategic,CH,C21,2021:10:06 19:04:24,06/10/2021 19:04,279,19,4,-1,1,0.06598553,2,snow,1,2,False,2,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/snow/000020.JPG,./dataset_local/000020.png
000021.JPG,systematic,CH,C21,2021:09:15 12:00:55,15/09/2021 12:00,258,12,0,14,0,0.001334839,0,background,4,2,False,4,/mnt/synas/ngb/AI_DATASETS/zenodo_10137731_weather_ct/images/background1/000021.JPG,./dataset_local/000021.png
